Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,587987,440376,147611,877967,418421,0,5321,64178,0.748955,0.523421,0.0,0.6161989999999999,,,1.5127149296088143,2.5683480763392432
INDEL,PASS,587987,440376,147611,877967,418421,0,5321,64178,0.748955,0.523421,0.0,0.6161989999999999,,,1.5127149296088143,2.5683480763392432
SNP,ALL,3459843,3404539,55304,4114461,707686,0,3431,26154,0.984015,0.828,0.0,0.899291,2.0954468488952775,1.9177898854309772,1.5788698631413733,1.7023614792285384
SNP,PASS,3459843,3404539,55304,4114461,707686,0,3431,26154,0.984015,0.828,0.0,0.899291,2.0954468488952775,1.9177898854309772,1.5788698631413733,1.7023614792285384
