Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525466,406336,119130,878262,49193,407218,4399,21080,0.773287,0.895566,0.463663,0.8299469999999999,,,1.528275734138537,2.5685324774136147
INDEL,PASS,525466,406336,119130,878262,49193,407218,4399,21080,0.773287,0.895566,0.463663,0.8299469999999999,,,1.528275734138537,2.5685324774136147
SNP,ALL,3365115,3314940,50175,4114593,13972,784429,2696,3867,0.9850899999999999,0.9958040000000001,0.190646,0.990418,2.1001288556531157,1.9178345831829946,1.5811958532541182,1.702830002655428
SNP,PASS,3365115,3314940,50175,4114593,13972,784429,2696,3867,0.9850899999999999,0.9958040000000001,0.190646,0.990418,2.1001288556531157,1.9178345831829946,1.5811958532541182,1.702830002655428
