Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,585745,447934,137811,905246,437967,0,5291,65959,0.764725,0.5161899999999999,0.0,0.616346,,,1.501770305215449,2.5916940272157984
INDEL,PASS,585745,447934,137811,905246,437967,0,5291,65959,0.764725,0.5161899999999999,0.0,0.616346,,,1.501770305215449,2.5916940272157984
SNP,ALL,3447535,3435975,11560,4435927,997699,0,1845,27030,0.996647,0.775087,0.0,0.8720129999999999,2.092263172478606,1.8409566463610172,1.5728221295363825,1.8339045453557266
SNP,PASS,3447535,3435975,11560,4435927,997699,0,1845,27030,0.996647,0.775087,0.0,0.8720129999999999,2.092263172478606,1.8409566463610172,1.5728221295363825,1.8339045453557266
